订单日期,地区,渠道,品类,销售额,订单数,客单价
2025-05-11,华南,直营,数码,5751.71,25,230.07
2025-05-13,华南,代理,服饰,313.46,12,26.12
2025-05-14,华北,电商,数码,3436.28,22,156.19
2025-05-16,华南,直营,服饰,456.39,12,38.03
2025-05-17,华北,电商,数码,4653.95,33,141.03
2025-05-18,华南,代理,数码,2443.31,6,407.22
2025-05-19,西南,代理,数码,4189.32,20,209.47
2025-05-21,华南,直营,家电,10344.76,39,265.25
2025-05-24,华北,代理,食品,104.28,40,2.61
2025-05-25,华东,代理,食品,230.51,33,6.99
2025-05-26,华东,代理,家电,4368.36,3,1456.12
2025-05-27,华北,直营,食品,252.54,36,7.01
2025-05-28,华东,代理,家电,8588.23,1,8588.23
2025-05-31,华东,代理,数码,5717.57,5,1143.51
2025-06-03,华北,直营,服饰,470.4,14,33.6
2025-06-04,西南,电商,食品,88.58,19,4.66
2025-06-05,华南,直营,家电,6943.71,20,347.19
2025-06-06,华东,电商,数码,4718.2,7,674.03
2025-06-07,西南,电商,服饰,660.74,30,22.02
2025-06-08,华南,电商,数码,7312.83,2,3656.41
2025-06-10,西南,直营,食品,286.7,25,11.47
2025-06-11,华南,直营,数码,2736.43,34,80.48
2025-06-13,华北,直营,服饰,1010.32,24,42.1
2025-06-14,西南,电商,食品,77.36,1,77.36
2025-06-17,西南,电商,服饰,878.11,27,32.52
2025-06-19,西南,电商,数码,6759.73,1,6759.73
2025-06-21,华北,电商,数码,7333.71,13,564.13
2025-06-22,华北,电商,服饰,329.8,25,13.19
2025-06-23,华北,电商,服饰,983.32,18,54.63
2025-06-24,华东,代理,服饰,801.75,10,80.17
2025-06-25,华北,电商,服饰,433.2,24,18.05
2025-06-28,华东,代理,食品,269.3,36,7.48
2025-06-29,华东,直营,食品,169.39,9,18.82
2025-07-01,西南,直营,家电,5262.76,27,194.92
2025-07-03,华北,电商,服饰,887.92,17,52.23
2025-07-06,华南,电商,食品,192.38,26,7.4
2025-07-07,华南,代理,家电,4264.78,33,129.24
2025-07-10,华南,电商,服饰,1101.08,29,37.97
2025-07-13,华南,代理,家电,6028.25,12,502.35
2025-07-15,华东,电商,家电,7325.11,37,197.98
2025-07-16,华东,代理,食品,154.69,34,4.55
2025-07-17,西南,电商,服饰,898.75,32,28.09
2025-07-19,华北,直营,家电,4446.72,16,277.92
2025-07-22,西南,代理,食品,165.28,20,8.26
2025-07-23,华南,直营,食品,225.25,31,7.27
2025-07-26,华东,直营,食品,272.93,34,8.03
2025-07-29,西南,直营,数码,3209.09,10,320.91
2025-07-30,西南,直营,数码,1927.87,9,214.21
2025-07-31,华东,代理,服饰,1072.9,17,63.11
2025-08-03,华东,直营,数码,3650.01,38,96.05
2025-08-04,西南,电商,家电,11732.69,1,11732.69
2025-08-05,华北,电商,服饰,1070.0,16,66.88
2025-08-08,华南,代理,家电,3785.69,27,140.21
2025-08-10,华东,直营,家电,8682.36,27,321.57
2025-08-11,华北,直营,食品,271.83,15,18.12
2025-08-14,华东,代理,服饰,870.78,24,36.28
2025-08-17,华南,直营,服饰,888.0,33,26.91
2025-08-18,华南,电商,家电,6734.31,13,518.02
2025-08-19,西南,直营,服饰,905.67,19,47.67
2025-08-20,西南,代理,家电,12839.21,32,401.23
2025-08-23,华东,代理,家电,13104.88,4,3276.22
2025-08-24,华东,代理,家电,7816.62,4,1954.15
2025-08-25,西南,电商,服饰,882.7,6,147.12
2025-08-26,华北,直营,家电,10291.77,34,302.7
2025-08-29,华东,电商,食品,253.25,22,11.51
2025-09-01,华南,直营,数码,2370.67,6,395.11
2025-09-03,西南,直营,家电,7448.55,20,372.43
2025-09-06,华东,直营,食品,114.27,35,3.26
2025-09-09,华南,电商,服饰,886.5,31,28.6
2025-09-10,西南,直营,食品,80.78,3,26.93
2025-09-13,华东,直营,服饰,437.41,5,87.48
2025-09-15,华北,电商,服饰,1068.97,40,26.72
2025-09-16,华北,代理,服饰,1041.26,20,52.06
2025-09-17,华东,直营,家电,4599.81,30,153.33
2025-09-20,华北,电商,食品,100.66,32,3.15
2025-09-21,华东,代理,服饰,957.24,10,95.72
2025-09-22,华北,电商,食品,150.16,39,3.85
2025-09-23,华南,电商,家电,6061.89,5,1212.38
2025-09-24,西南,代理,服饰,409.05,28,14.61
2025-09-25,华东,电商,数码,3120.04,27,115.56
2025-09-28,西南,直营,家电,4867.8,30,162.26
2025-09-29,华东,电商,服饰,507.34,18,28.19
2025-10-01,华北,代理,服饰,440.93,16,27.56
2025-10-02,华南,直营,家电,6417.34,38,168.88
2025-10-03,华北,直营,食品,126.36,16,7.9
2025-10-04,华东,代理,食品,286.05,7,40.86
2025-10-05,西南,直营,食品,269.51,3,89.84
2025-10-07,华南,直营,数码,3011.94,38,79.26
2025-10-08,华东,电商,家电,8168.75,17,480.51
2025-10-09,华东,代理,服饰,456.21,24,19.01
2025-10-11,华南,直营,家电,13918.68,3,4639.56
2025-10-12,华东,电商,食品,218.52,12,18.21
2025-10-14,华东,直营,数码,6500.82,36,180.58
2025-10-17,华东,电商,数码,6504.06,36,180.67
2025-10-18,华东,代理,家电,7632.74,18,424.04
2025-10-21,华北,代理,服饰,621.98,4,155.5
2025-10-23,华北,电商,食品,75.93,24,3.16
2025-10-24,西南,代理,食品,115.99,1,115.99
2025-10-27,华南,电商,数码,6645.32,26,255.59
2025-10-29,西南,直营,家电,3634.87,36,100.97
2025-10-30,西南,直营,服饰,886.44,11,80.59
2025-10-31,华北,电商,家电,8920.9,5,1784.18
2025-11-01,西南,电商,家电,6628.86,3,2209.62
2025-11-04,华北,直营,食品,90.64,40,2.27
2025-11-05,华南,代理,食品,204.78,13,15.75
2025-11-08,华南,代理,家电,3915.48,34,115.16
2025-11-09,西南,电商,数码,2780.93,13,213.92
2025-11-10,华东,代理,服饰,373.48,39,9.58
2025-11-13,华北,代理,食品,138.57,16,8.66
2025-11-16,西南,代理,服饰,645.94,29,22.27
2025-11-17,华东,直营,食品,172.5,29,5.95
2025-11-20,华南,电商,食品,95.13,9,10.57
2025-11-22,西南,电商,数码,6541.14,33,198.22
2025-11-23,华东,代理,家电,4338.6,21,206.6
2025-11-24,华东,代理,食品,212.99,9,23.67
2025-11-25,华东,代理,数码,3035.75,32,94.87
2025-11-27,华南,代理,家电,4163.99,23,181.04
2025-11-29,华南,电商,服饰,1025.39,30,34.18
2025-11-30,华北,代理,食品,117.0,17,6.88
2025-12-01,华北,电商,数码,3065.91,26,117.92
2025-12-02,华北,代理,服饰,1017.4,11,92.49
2025-12-04,华东,代理,数码,5585.2,24,232.72
2025-12-07,华东,电商,食品,231.39,24,9.64
2025-12-09,西南,电商,家电,7241.02,6,1206.84
2025-12-12,华南,直营,数码,3627.17,34,106.68
2025-12-14,华北,代理,服饰,882.96,3,294.32
2025-12-15,华南,电商,食品,162.22,24,6.76
2025-12-16,华南,电商,家电,9874.7,3,3291.57
2025-12-17,华东,直营,服饰,527.5,34,15.51
2025-12-19,华南,电商,服饰,763.77,14,54.55
2025-12-21,西南,直营,家电,3627.33,16,226.71
2025-12-22,西南,直营,数码,5596.09,18,310.89
2025-12-25,华北,直营,数码,5634.9,36,156.52
2025-12-27,西南,代理,食品,125.68,1,125.68
2025-12-28,华东,代理,数码,4258.5,16,266.16
2025-12-29,华东,直营,数码,5448.8,13,419.14
2025-12-30,西南,直营,食品,247.69,12,20.64
2026-01-01,华东,电商,数码,7645.79,31,246.64
2026-01-02,西南,电商,食品,89.38,29,3.08
2026-01-03,华南,直营,服饰,468.34,3,156.11
2026-01-04,华北,代理,服饰,865.27,18,48.07
2026-01-07,华北,电商,家电,4371.8,33,132.48
2026-01-08,华南,电商,家电,12267.59,13,943.66
2026-01-09,华北,直营,食品,142.97,16,8.94
2026-01-12,西南,电商,数码,6859.33,28,244.98
2026-01-13,华北,直营,食品,206.49,5,41.3
2026-01-14,华南,直营,数码,2564.5,40,64.11
2026-01-15,华北,直营,数码,2097.81,9,233.09
2026-01-16,华东,代理,数码,2298.81,38,60.49
2026-01-18,华南,代理,数码,6987.16,25,279.49
2026-01-19,华南,直营,家电,4648.96,3,1549.65
2026-01-20,华北,电商,数码,2684.09,14,191.72
2026-01-22,华北,电商,食品,128.41,23,5.58
2026-01-24,华北,直营,服饰,1029.76,39,26.4
2026-01-27,华北,代理,数码,6464.96,2,3232.48
2026-01-30,华东,电商,食品,224.21,35,6.41
2026-01-31,华东,代理,服饰,417.07,1,417.07
2026-02-01,华北,直营,数码,3923.35,7,560.48
2026-02-04,华南,电商,服饰,1068.57,33,32.38
2026-02-06,华南,电商,家电,13275.74,15,885.05
2026-02-09,华南,直营,数码,4744.08,36,131.78
2026-02-10,华北,电商,数码,4231.32,26,162.74
2026-02-11,西南,代理,数码,4062.43,20,203.12
2026-02-13,西南,代理,家电,7439.95,15,496.0
2026-02-16,华南,代理,数码,3927.28,21,187.01
2026-02-17,西南,代理,服饰,416.39,29,14.36
